ticker,company,sector,esg_total,pred_Ridge,pred_RandomForest,pred_XGBoost,best_pred,inconsistency,inconsistency_z,inconsistency_quintile,log_market_cap,revenue,net_income,total_debt,ebitda,roe,roa,profit_margin,debt_equity,current_ratio,beta,pe_ratio,pb_ratio,employees,controversy
ARE,Alexandria Real Estate Equities,Real Estate,42.305056053512274,36.019237271502654,35.09646400172362,33.879364,36.019237271502654,6.2858187820096205,1.0937804057866904,Q5 (most over-rated),22.800047460177648,3016924928,-1437986944,12761098240,1939510016.0,-0.05856,0.0109399995,-0.47384998,66.615,1.617,1.319,24.5092985,0.5075348,514,0
ALGN,Align Technology,Health Care,19.34424522270057,25.045155761647816,26.73249567368617,22.970152,25.045155761647816,-5.7009105389472445,-0.8995907494262851,Q1 (most under-rated),23.20297277295643,4034963968,410351008,114446000,851347008.0,0.103870004,0.06938,0.1017,2.826,1.363,1.823,29.395761,2.9323747,20290,0
ALLE,Allegion,Industrials,24.212504704494997,22.06830922799368,23.822012054267173,20.709908,22.06830922799368,2.1441954765013165,0.4050360275746833,Q4,23.244827614149447,4067300096,643800000,2150299904,1006300032.0,0.36084,0.11238,0.15829,104.0,1.842,1.008,19.422043,6.0150685,13300,3
LNT,Alliant Energy,Utilities,23.746704395026008,32.5053597589757,36.10794769436832,35.862522,32.5053597589757,-8.758655363949693,-1.4080881193890087,Q1 (most under-rated),23.621030840877413,4361999872,810000000,12327000064,1852000000.0,0.11299,0.02636,0.18569,168.08,0.799,0.611,22.458597,2.4724774,2948,2
ALL,Allstate,Financials,37.27070180784364,32.190000164199915,34.72946516686585,32.873203,32.190000164199915,5.080701643643728,0.8933716305529462,Q5 (most over-rated),24.686181762735124,67684999168,10165000192,7674999808,12494999552.0,0.39518002,0.064899996,0.15191,25.091,0.366,0.206,5.3246655,1.842232,53000,3
GOOGL,Alphabet Inc. (Class A),Communication Services,41.700444534082486,41.298454960503534,38.15656330077412,40.863636,41.298454960503534,0.4019895735789518,0.11531037345021103,Q3,28.83059158482659,402835996672,132169998336,66995998720,150175006720.0,0.35705003,0.15427,0.32810003,16.133,2.005,1.112,25.378351,7.985911,190820,3
GOOG,Alphabet Inc. (Class C),Communication Services,40.89082581872844,35.487779636854725,35.106383741122926,41.284237,35.487779636854725,5.403046181873712,0.9469769375005802,Q5 (most over-rated),28.828475174724076,402835996672,132169998336,66995998720,150175006720.0,0.35705003,0.15427,0.32810003,16.133,2.005,1.112,25.3247,7.9690275,190820,3
MO,Altria,Consumer Staples,40.41442273357635,39.43492677755795,33.65428066237019,35.249016,39.43492677755795,0.979495956018404,0.21134862824700007,Q3,25.438169792553968,20138999808,6927000064,25709000704,15610000384.0,0.15298499999999998,0.27324,0.34495,83.578,0.648,0.434,16.135923,-31.778204,5900,0
AMZN,Amazon,Consumer Discretionary,44.33524803204418,32.59941048600477,37.04929974537109,36.50307,32.59941048600477,11.735837546039406,2.0001085549167996,Q5 (most over-rated),28.391779764245577,716923994112,77669998592,178546999296,145730994176.0,0.22286,0.06928,0.108339995,43.435,1.051,1.42,27.763231,5.2038846,1576000,1
AMCR,Amcor,Materials,33.57282310758719,34.87605791495448,34.8923054605995,36.095383,34.87605791495448,-1.3032348073672892,-0.16826532123084612,Q3,23.604944559661845,19608999936,596000000,16158000128,2844999936.0,0.07734,0.03909,0.03039,138.731,1.301,0.635,29.037592,1.5335133,77000,3
AEE,Ameren,Utilities,26.930033067021355,33.482559272045,35.97078562831965,33.88321,33.482559272045,-6.552526205023646,-1.0412128765828756,Q1 (most under-rated),24.12622414193928,8470000128,1456000000,19906000896,3719000064.0,0.11337,0.03053,0.1719,147.125,0.658,0.531,20.321495,2.2423892,8913,0
AEP,American Electric Power,Utilities,27.387198697070623,33.68654110063382,37.28042854208751,36.12822,33.68654110063382,-6.299342403563195,-0.9991088736238645,Q1 (most under-rated),24.98196048818986,21876000768,3580000000,49692000256,8956999680.0,0.12486,0.03174,0.16364999,154.237,0.455,0.573,19.534536,2.2598186,17581,0
AXP,American Express,Financials,35.19385511332009,32.367614400541875,31.46378217370209,30.57825,32.367614400541875,2.8262407127782154,0.518458902500857,Q4,26.02496085025788,66972999680,10700999680,63908999168,3426499968.0,0.33992,0.03791,0.16174999,190.921,1.405,1.152,19.015614,5.9896297,76800,2
